sample,read_type,count
e00309-B,nonchim,14780
e00309-C,input,16183
e00309-C,filtered,16167
e00309-C,denoisedF,16140
e00309-C,denoisedR,16116
e00309-C,merged,16026
e00309-C,nonchim,15347
e00310-A,input,5238
e00310-A,filtered,5221
e00310-A,denoisedF,5217
e00310-A,denoisedR,5212
e00310-A,merged,5159
e00310-A,nonchim,4878
e00310-B,input,13771
e00310-B,filtered,13739
e00310-B,denoisedF,13730
e00310-B,denoisedR,13717
e00310-B,merged,13638
e00310-B,nonchim,13414
e00310-C,input,16409
e00310-C,filtered,16388
e00310-C,denoisedF,16367
e00310-C,denoisedR,16341
e00310-C,merged,16278
e00310-C,nonchim,15953
e00311-A,input,26781
e00311-A,filtered,26727
e00311-A,denoisedF,26709
e00311-A,denoisedR,26675
e00311-A,merged,10256
e00311-A,nonchim,9402
e00311-B,input,16608
e00311-B,filtered,16577
e00311-B,denoisedF,16545
e00311-B,denoisedR,16508
e00311-B,merged,14660
e00311-B,nonchim,14214
e00311-C,input,16294
e00311-C,filtered,16269
e00311-C,denoisedF,16245
e00311-C,denoisedR,16213
e00311-C,merged,16123
e00311-C,nonchim,14955
e00312-A,input,50328
e00312-A,filtered,50210
e00312-A,denoisedF,50189
e00312-A,denoisedR,50146
e00312-A,merged,0
e00312-A,nonchim,0
e00312-B,input,49104
e00312-B,filtered,48963
e00312-B,denoisedF,48927
e00312-B,denoisedR,48917
e00312-B,merged,0
e00312-B,nonchim,0
e00312-C,input,28
e00312-C,filtered,25
e00312-C,denoisedF,20
e00312-C,denoisedR,19
e00312-C,merged,18
e00312-C,nonchim,18
e00313-A,input,8719
e00313-A,filtered,8694
e00313-A,denoisedF,8689
e00313-A,denoisedR,8675
e00313-A,merged,18
e00313-A,nonchim,18
e00313-B,input,10317
e00313-B,filtered,10284
e00313-B,denoisedF,10275
e00313-B,denoisedR,10247
e00313-B,merged,434
e00313-B,nonchim,432
e00313-C,input,57160
e00313-C,filtered,56981
e00313-C,denoisedF,56950
e00313-C,denoisedR,56877
e00313-C,merged,2731
e00313-C,nonchim,2730
e00314-A,input,6642
e00314-A,filtered,6632
e00314-A,denoisedF,6621
e00314-A,denoisedR,6615
e00314-A,merged,6570
e00314-A,nonchim,6497
e00314-B,input,24115
e00314-B,filtered,24071
e00314-B,denoisedF,24021
e00314-B,denoisedR,23979
e00314-B,merged,23792
e00314-B,nonchim,23571
e00314-C,input,45867
e00314-C,filtered,45754
e00314-C,denoisedF,45702
e00314-C,denoisedR,45629
e00314-C,merged,18299
e00314-C,nonchim,18053
e00315-A,input,9029
e00315-A,filtered,9017
e00315-A,denoisedF,8998
e00315-A,denoisedR,8974
e00315-A,merged,8855
e00315-A,nonchim,8641
e00315-B,input,27388
e00315-B,filtered,27337
e00315-B,denoisedF,27244
e00315-B,denoisedR,27197
e00315-B,merged,26987
e00315-B,nonchim,26496
e00315-C,input,45612
e00315-C,filtered,45489
e00315-C,denoisedF,45390
e00315-C,denoisedR,45322
e00315-C,merged,20959
e00315-C,nonchim,19185
e00316-A,input,9383
e00316-A,filtered,9367
e00316-A,denoisedF,9312
e00316-A,denoisedR,9333
e00316-A,merged,9220
e00316-A,nonchim,8713
e00316-B,input,21301
e00316-B,filtered,21276
e00316-B,denoisedF,21246
e00316-B,denoisedR,21198
e00316-B,merged,21019
e00316-B,nonchim,19729
e00316-C,input,22211
e00316-C,filtered,22178
e00316-C,denoisedF,22155
e00316-C,denoisedR,22133
e00316-C,merged,22007
e00316-C,nonchim,21483
e00317-B,input,15479
e00317-B,filtered,15407
e00317-B,denoisedF,15392
e00317-B,denoisedR,15329
e00317-B,merged,0
e00317-B,nonchim,0
e00317-C,input,15980
e00317-C,filtered,15892
e00317-C,denoisedF,15837
e00317-C,denoisedR,15793
e00317-C,merged,14991
e00317-C,nonchim,13538
e00318-A,input,7868
e00318-A,filtered,7861
e00318-A,denoisedF,7853
e00318-A,denoisedR,7838
e00318-A,merged,7595
e00318-A,nonchim,7149
e00318-B,input,19581
e00318-B,filtered,19556
e00318-B,denoisedF,19515
e00318-B,denoisedR,19499
e00318-B,merged,19292
e00318-B,nonchim,17813
e00318-C,input,22408
e00318-C,filtered,22367
e00318-C,denoisedF,22329
e00318-C,denoisedR,22330
e00318-C,merged,22025
e00318-C,nonchim,20574
e00319-A,input,37793
e00319-A,filtered,37695
e00319-A,denoisedF,37666
e00319-A,denoisedR,37614
e00319-A,merged,4686
e00319-A,nonchim,4453
e00319-B,input,19894
e00319-B,filtered,19863
e00319-B,denoisedF,19842
e00319-B,denoisedR,19798
e00319-B,merged,19599
e00319-B,nonchim,17782
e00319-C,input,23111
e00319-C,filtered,23071
e00319-C,denoisedF,23021
e00319-C,denoisedR,22918
e00319-C,merged,22747
e00319-C,nonchim,21363
e00320-A,input,6649
e00320-A,filtered,6645
e00320-A,denoisedF,6642
e00320-A,denoisedR,6627
e00320-A,merged,6588
e00320-A,nonchim,6043
e00320-B,input,17028
e00320-B,filtered,17000
e00320-B,denoisedF,16949
e00320-B,denoisedR,16959
e00320-B,merged,16860
e00320-B,nonchim,14750
e00320-C,input,16359
e00320-C,filtered,16332
e00320-C,denoisedF,16326
e00320-C,denoisedR,16284
e00320-C,merged,16202
e00320-C,nonchim,15331
e00321-A,input,12530
e00321-A,filtered,12507
e00321-A,denoisedF,12502
e00321-A,denoisedR,12485
e00321-A,merged,10376
e00321-A,nonchim,10373
e00321-B,input,48672
e00321-B,filtered,48519
e00321-B,denoisedF,48493
e00321-B,denoisedR,48414
e00321-B,merged,121
e00321-B,nonchim,121
e00321-C,input,1359
e00321-C,filtered,1353
e00321-C,denoisedF,1350
e00321-C,denoisedR,1350
e00321-C,merged,71
e00321-C,nonchim,71
e00322-A,input,10947
e00322-A,filtered,10934
e00322-A,denoisedF,10929
e00322-A,denoisedR,10914
e00322-A,merged,10870
e00322-A,nonchim,10435
e00322-B,input,26325
e00322-B,filtered,26277
e00322-B,denoisedF,26256
e00322-B,denoisedR,26211
e00322-B,merged,26128
e00322-B,nonchim,24278
e00322-C,input,26540
e00322-C,filtered,26505
e00322-C,denoisedF,26435
e00322-C,denoisedR,26429
e00322-C,merged,26311
e00322-C,nonchim,25455
e00323-A,input,9204
e00323-A,filtered,9196
e00323-A,denoisedF,9175
e00323-A,denoisedR,9177
e00323-A,merged,9152
e00323-A,nonchim,8678
e00323-B,input,19976
e00323-B,filtered,19941
e00323-B,denoisedF,19911
e00323-B,denoisedR,19892
e00323-B,merged,19824
e00323-B,nonchim,16944
e00323-C,input,48980
e00323-C,filtered,48839
e00323-C,denoisedF,48738
e00323-C,denoisedR,48740
e00323-C,merged,13993
e00323-C,nonchim,13848
e00324-A,input,10436
e00324-A,filtered,10419
e00324-A,denoisedF,10409
e00324-A,denoisedR,10397
e00324-A,merged,10362
e00324-A,nonchim,9879
e00324-B,input,24192
e00324-B,filtered,24143
e00324-B,denoisedF,24120
